Date,Open,High,Low,Close,Volume
2012.9.14,"22,550","23,000","22,350","22,950","10,517,447"
2012.9.17,"23,150","23,200","22,850","22,950","4,248,504"
2012.9.18,"22,950","23,300","22,800","22,850","3,843,199"
2012.9.19,"22,950","23,650","22,900","23,500","7,673,229"
2012.9.20,"23,700","24,650","23,600","23,900","12,250,096"
2012.9.21,"24,200","24,250","23,650","23,850","4,797,968"
2012.9.24,"23,950","24,000","23,350","23,500","3,509,912"
2012.9.25,"23,250","23,350","22,750","22,900","5,377,949"
2012.9.26,"22,600","22,950","22,450","22,750","3,227,444"
2012.9.27,"22,550","22,950","22,450","22,900","3,525,787"
2012.9.28,"22,950","23,250","22,600","22,750","3,873,405"
2012.10.2,"22,950","23,000","22,350","22,500","2,858,070"
2012.10.4,"22,850","23,500","22,750","23,150","6,192,433"
2012.10.5,"23,400","23,600","23,150","23,250","3,119,376"
2012.10.8,"23,350","23,850","23,300","23,700","5,661,298"
2012.10.9,"23,800","23,900","23,550","23,550","3,477,414"
2012.10.10,"23,250","23,300","23,000","23,000","3,010,313"
2012.10.11,"22,800","23,100","22,600","22,900","2,957,524"
2012.10.12,"22,900","23,000","22,250","22,550","4,262,738"
2012.10.15,"22,550","22,700","22,100","22,250","3,034,811"
2012.10.16,"22,700","23,050","22,700","22,850","3,901,823"
2012.10.17,"23,400","23,600","23,200","23,500","4,594,202"
2012.10.18,"23,500","23,650","23,200","23,550","2,682,573"
2012.10.19,"23,550","23,750","23,250","23,300","2,646,218"
2012.10.22,"22,700","23,450","22,650","23,400","2,573,262"
2012.10.23,"23,400","23,700","23,050","23,050","2,851,721"
2012.10.24,"23,500","24,150","23,350","24,000","8,709,303"
2012.10.25,"24,150","24,800","24,050","24,300","7,780,836"
2012.10.26,"24,300","24,650","24,000","24,100","3,832,976"
2012.10.29,"24,550","24,950","23,900","24,100","6,197,870"
2012.10.30,"24,500","24,750","24,200","24,300","3,782,716"
2012.10.31,"24,800","25,000","24,650","24,850","5,789,405"
2012.11.1,"24,950","25,900","24,700","25,500","8,312,753"
2012.11.2,"26,000","26,300","25,900","25,950","6,592,179"
2012.11.5,"25,950","26,350","25,750","26,150","3,347,263"
2012.11.6,"26,250","26,300","25,550","25,900","5,042,809"
2012.11.7,"26,000","26,100","25,450","26,000","4,411,461"
2012.11.8,"25,600","26,100","25,350","26,050","4,522,898"
2012.11.9,"25,700","25,950","25,350","25,400","5,241,275"
2012.11.12,"25,200","25,550","24,800","25,300","4,373,224"
2012.11.13,"25,200","25,550","25,000","25,350","3,314,201"
2012.11.14,"25,550","26,700","25,500","26,600","8,690,475"
2012.11.15,"26,350","26,550","25,900","26,150","4,774,667"
2012.11.16,"26,100","26,300","24,550","24,950","9,295,709"
2012.11.19,"25,200","25,500","24,750","25,200","3,934,488"
2012.11.20,"25,650","25,750","25,300","25,350","3,293,980"
2012.11.21,"25,500","25,750","24,900","24,900","3,705,474"
2012.11.22,"25,250","25,700","25,000","25,600","3,192,295"
2012.11.23,"25,500","25,850","25,350","25,700","2,772,673"
2012.11.26,"25,800","26,300","25,750","25,800","3,757,376"
2012.11.27,"25,750","26,000","25,350","25,550","4,349,165"
2012.11.28,"25,400","25,550","25,000","25,350","3,108,705"
2012.11.29,"25,700","25,800","25,100","25,400","4,030,728"
2012.11.30,"25,250","25,350","24,400","24,400","8,420,949"
2012.12.3,"24,300","24,650","24,200","24,400","4,155,082"
2012.12.4,"24,300","24,700","24,200","24,450","3,560,107"
2012.12.5,"24,450","24,900","24,250","24,850","3,504,294"
2012.12.6,"24,850","25,100","24,700","24,850","3,774,704"
